,类型,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
34,攻击活动分析报告 (181),南亚地区 APT 组织 2019 年度攻击活动总结,2019/12/27,暂无数据,['暂无数据'],DonotAPT-C-35肚脑虫,"攻击活动的重点目标依旧是中国和巴基斯坦。但是与 2017、2018年的历史数据相比，其针对巴基斯坦的攻击活动呈现明显的上升趋势，而针对中国的攻击活动却稍有缓和。 初始入侵手段主要为社会工程学，按重要程度依次为鱼叉漏洞文档，鱼叉LNK文件，自解压程序，CHM文档，U盘等; 在代码执行阶段，除社会工程学直接诱导受害者执行程序外，其主要使用 Office 漏洞，使用频率最高的为CVE-2017-11882，其次是CVE-2018-0798; 在持久化方面上，其使用的技术均比较常见, 基本为：添加注册表启动项， 添加计划任务项，添加计划任务启动项；在命令和控制方面，较新的方法是使用了 Github 和 Feed43 这类共用平台下发C2 地址信息，其在 Github 或者 Feed43 上创建带有加密C2信息的XML文件，解密来获取新的C2 地址信息。 从技术方面总结，攻击者使用的恶意代码编码质量不高，在恶意代码武器库和攻击手法上与之前相比并没有较大改善。但攻击者正在部分攻击环节提高技术能力：寻找新的白利用手段、使用 JavaScript 脚本在内存加载.Net、尝试对原有恶意代码武器库进行改进，同时在社会工程学方面其做了大量工作，题材形式多样，极具诱惑力。"
35,攻击活动分析报告 (181),钓鱼邮件伪装成葡萄牙财政税收部门，传播新木马Lampion,2019/12/26,暂无数据,['暂无数据'],暂无数据,研究人员最近发现冒充葡萄牙政府财政税收部门传播网络钓鱼邮件的活动，电子邮件伪装成年度税收申报主题，分发名为Lampion的新木马，该木马看起来像是ChePro木马家族变体。当受害者单击电子邮件正文中的可用链接，就会从在线服务器下载恶意压缩文件，其中包含Lampion的初始下载脚本FacturaNovembro-4492154-2019-10_8.vbs，该脚本通过添加注释块进行了简单混淆，执行后，将下载P-19-2.dll文件(Lampion)和0.zip，并在Windows StartUp文件夹下创建.Ink文件来保持持久性。恶意软件收集计算机磁盘、打开的窗口、剪贴板和银行凭证的详细信息并发送到可用的C2。恶意软件受到VMProtect 3.x的保护，使分析人员无法反编译源代码，加大分析难度。
36,攻击活动分析报告 (181),大规模网络钓鱼活动仿冒加拿大银行，窃取用户银行登录凭据,2019/12/24,暂无数据,['暂无数据'],暂无数据,Check Point最近监测到一个新的网络钓鱼活动，该活动冒充了加拿大皇家银行，向加拿大的多个组织和受害者发送包含恶意PDF附件的的电子邮件，该活动持续了至少两年。PDF附件使用皇家银行的徽标以及授权码，受害者可能需要为该授权码更新RBC Express在线银行系统的数字证书，当受害者点击文档中出现的任何URL时，就会被引导至一个仿冒RBC 官方网站的页面，要求输入RBC Express凭据。为了逃避检测，某些PDF文档受密码保护，并且将密码附加在电子邮件正文中。
37,攻击活动分析报告 (181),新P2P僵尸网络Ｍozi，利用Telnet弱口令和漏洞传播,2019/12/24,暂无数据,['暂无数据'],暂无数据,研究人员最近发现一个P2P僵尸网络，根据其传播样本文件名称特征将其命名为Mozi。Mozi 僵尸网络依赖DHT协议建立一个P2P网络，通过ECDSA384以及XOR算法保证自身组件和P2P网络的完整性和安全性。恶意样本通过Telnet弱口令和一些已知的漏洞传播，例如CVE-2014-8361、CVE-2018-10561、CVE-2018-10562等。Ｍozi僵尸网络中的各个节点接收来自Botnet Master下发的指令执行，指令存在于名为Config的负载中，主要指令包括DDoS攻击、收集Bot信息、执行指定URL的payload、从指定的URL更新样本、执行系统或自定义命令。Ｍozi复用Gafgyt的代码实现了许多常见功能，如单一实例，修改进程名，网络流量放行。
38,攻击活动分析报告 (181),APT20组织攻击活动分析报告,2019/12/23,暂无数据,['暂无数据'],暂无数据,Fox-IT最近揭露了一个新的APT组织(APT20)的攻击活动，研究人员发现该活动针对数10个国家的政府机构、管理服务提供商、能源、医疗保健和高科技行业。该组织通常通过安全性不强的Web服务器(例如JBoss)获取目标网络的立足点。这些服务器通常已被其他攻击者放置了webshell。同时，该组织也会将自己的webshell上传到该服务器，以作为预防措施。一旦获取初始访问权限，攻击者就会在内网进行横向移动，例如从内存中转储凭据并访问受损系统上的密码管理器。攻击者未使用恶意后门作为命令和控制通道，而是使用窃取的凭证通过企业VPN解决方案连接到受害者的网络，并且通过滥用双因素身份验证(2FA)来维持持久性。该组织通常使用自定义工具来进行攻击活动，例如自定义的webshell、套接字通道、侦察脚本、后门(XServer)、目录列表工具、进程启动工具、枚举远程主机上的会话和用户的工具(CheckAdmin)和支持多个跃点的自定义代理工具(Agent)。根据相关特征推测，该组织疑似来自于中国地区。
39,攻击活动分析报告 (181),蔓灵花（APT-C-08）移动平台攻击活动揭露,2019/12/19,暂无数据,['暂无数据'],BITTERBITTER蔓灵花蔓灵花,蔓灵花（APT-C-08）APT组织是一个长期针对中国、巴基斯坦等国家进行攻击活动的APT组织，主要攻击政府、电力和军工行业相关单位，以窃取敏感信息为主，具有强烈的政治背景，是目前活跃的针对境内目标进行攻击的境外APT组织之一。该组织最早在2016被国外安全公司进行了披露，并且命名为“BITTER”，同年360也跟进发布了分析报告，将该组织命名为“蔓灵花”。 迄今为止有数个国内外安全团队持续追踪并披露该组织PC端的最新攻击活动。 2019年8月，360烽火实验室在日常样本分析中发现一新型Android木马，根据其CC特点将其命名为SlideRAT，深入分析后发现该家族木马属于蔓灵花组织。此后，我们对该家族样本进行持续监控，2019年11初，我们发现SlideRAT攻击中国军工行业从事人员，11月中旬，该家族样本开始攻击中国驻巴基斯坦人员。短短半个月内，蔓灵花组织在移动平台至少进行了两次的攻击活动，且受害者均为中国人，我们猜测随着年关将近，该时间段为该组织针对我国攻击的高发期。鉴于此我们决定通过已有情报和数据，将该家族在移动平台的攻击活动进行揭露。
40,攻击活动分析报告 (181),行走的漏洞利用机器人：僵尸网络病毒携71个EXP占领高地,2019/12/18,暂无数据,['僵尸网络'],暂无数据,僵尸网络 Botnet 是指采用一种或多种传播手段，将大量主机感染bot程序（僵尸程序）病毒，从而在控制者和被感染主机之间所形成的一个可一对多控制的网络。攻击者通过各种途径传播僵尸程序感染互联网上的大量主机，而被感染的主机将通过一个控制信道接收攻击者的指令，组成一个僵尸网络。之所以用僵尸网络这个名字，是为了更形象地让人们认识到这类危害的特点：众多的计算机在不知不觉中如同中国古老传说中的僵尸群一样被人驱赶和指挥着，成为被人利用的一种工具。而本文提到的一种最新的僵尸网络Mirai变种ECHOBOT，足足使用了71个漏洞利用(EXP)，将对每一个资产进行漏洞批量扫描，要知道，半年前还有13个漏洞并没有加入他们的利用库中，这比很多漏洞扫描工具的更新速度还要快。
41,攻击活动分析报告 (181),Rancor使用新恶意软件Dudell，攻击东南亚地区,2019/12/17,暂无数据,['暂无数据'],暂无数据,2018年6月下旬，Unit 42发现了网络间谍组织Rancor，该组织在2017年和2018年期间在东南亚进行了有针对性的攻击。研究人员继续观察到该组织从2018年12月至 2019年1月持续针对柬埔寨一个政府组织发起了攻击，从中发现新的自定义恶意软件家族Dudell。Dudell代码隐藏在Microsoft Excel文档中，通过钓鱼邮件传播，利用宏加载执行脚本，下载有效负载。 此外，该黑客组织还使用了Derusbi和KHRat，Derusbi是一个恶意软件家族。
42,攻击活动分析报告 (181),FIN8针对加油站燃油泵PoS系统，窃取支付卡信息,2019/12/16,暂无数据,['暂无数据'],FIN8,Visa最近发布警告，称其去年发现了三起针对加油站燃油泵PoS系统，窃取支付卡信息的攻击活动，并将此活动归因于具有经济网络犯罪背景的FIN8组织。攻击者将包含恶意链接的网络钓鱼邮件发送给目标，恶意链接被点击后将在目标系统安装远程访问木马。攻击者进入系统后，收集系统网络凭据并横向移动到PoS系统环境中。然后使用RAM scraper从PoS系统获取支付卡数据。一些活动中，攻击者使用了基于Ursnif的RM3变体银行木马。针对加油站燃油泵PoS系统的攻击方式中，除了使用RAM scraper外，研究人员还曾观察到使用支持蓝牙的skimmers窃取信息。
43,攻击活动分析报告 (181),Momentum僵尸网络攻击活动，分发Mirai，Kaiten和Bashlite变体,2019/12/16,暂无数据,['暂无数据'],暂无数据,"趋势科技最近发现Momentum僵尸网络新活动，Momentum的目标是采用了各种CPU架构(如ARM、MIPS、Intel、Motorola 68020等)的Linux系统，然后利用这些设备进行分布式拒绝服务攻击(DDoS)。Momentum尝试通过利用设备漏洞下载并执行Shell脚本传播，包括CCTV-DVR远端控制设备、ZyXEL路由器、华为路由器等。在感染设备之后，Momentum通过修改""rc""文件来实现持久性，然后，其加入命令与控制(C&amp;C)服务器，并连接到名为#HellRoom的互联网中继聊天(IRC)通道，并注册自身为接受命令状态，以接收来自IRC服务器的命令。Momentum可以部署36种不同的DoS攻击方式，涉及已知的反射和放大策略，目标包括MemCache, LDAP, DNS和Valve Source Engine。除了DoS攻击外，Momentum还能够执行其他操作：在指定IP的端口上打开代理，更改客户端昵称，禁用或启用来自客户端的数据包等等。Momentum僵尸网络还会分发是Mirai，Kaiten和Bashlite变体。"
44,攻击活动分析报告 (181),针对韩国工业集团的APT攻击，使用Separ凭证窃取软件,2019/12/16,暂无数据,['暂无数据'],暂无数据,CyberX威胁情报小组发现持续进行的工业网络间谍活动，该活动主要针对位于韩国的数百家制造业和工业公司，包括电力设备制造商、钢铁制造商、化工厂建设公司等。攻击者通过发送带有工业主题的鱼叉式网络钓鱼邮件发起攻击。该活动使用了新版本的Separ凭证窃取恶意软件，该软件最早在2013年被发现。新版本增添了文件收集和通过Autorun持久化功能，除此之外，还增添了其他开源组件。安装后，恶意软件禁用防火墙，窃取浏览器和电子邮件凭据，以及搜索一系列扩展名的文档，包括Office文档和图像，并将这些信息传送到免费的FTP服务器(ftp[.]freehostia[.]com)上。
