,国家,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
33,中国 (63),Anubis银行木马最新活动，仿冒成抖音国际版传播,2019/11/5,奇安信,['木马后门'],暂无数据,"Anubis是一种主要活动在欧美等地的Android银行木马，其攻击手法主要通过伪装成金融应用、聊天应用、手机游戏、购物应用、软件更新、邮件应用、浏览器应用等一些主流的APP及用户较多的APP进行植入。近期奇安信病毒响应中心捕获到一款仿冒为抖音国际版""TikTok""的恶意软件，经过分析发现该恶意软件为Anubis木马变种。Anubis代码核心以远控为主体，钓鱼、勒索等其它功能为辅，目的则为获取用户关键信息，窃取用户财产。此次发现的仿冒“TikTok”的Anubis木马，其在功能上做了一些改变，并根据实际的需求，增加及优化了一些功能。目前受害者大多均来自俄罗斯，中国国内也有用户中招。"
34,中国 (63),APT组织黑格莎(Higaisa)针对朝鲜目标进行攻击活动,2019/11/5,腾讯,['暂无数据'],暂无数据,"腾讯威胁情报中心在2019年年初捕获到一起攻击活动，该攻击活动一直持续到现在。根据对该活动中所使用的攻击技术、被攻击人员背景等分析研判，认为其背后组织为来自韩国的具有政府背景的APT攻击组织，取名为""黑格莎(Higaisa)""。该组织常利用节假日、朝鲜国庆等朝鲜重要时间节点来进行钓鱼活动，诱饵内容包括新年祝福、元宵祝福、以及重要新闻、海外人员联系录等等。除此之外，其恶意软件还伪装成常用软件或下载插件等，针对移动端目标进行攻击。被攻击的对象还包括跟朝鲜相关的外交实体(如驻各地大使馆官员)、政府官员、人权组织、朝鲜海外居民、贸易往来人员等。目前监测到的受害国家包括中国、朝鲜、日本、尼泊尔、新加坡、俄罗斯、波兰、瑞士等。"
35,中国 (63),疑似Darkhotel组织利用Chrome零日漏洞，针对朝鲜发起水坑攻击,2019/11/4,Kaspersky,['水坑攻击'],DarkhotelDarkhotelAPT-C-06,最近，卡巴斯基安全研究人员曝光了WizardOpium攻击行动，攻击者在朝鲜新闻门户主页上插入恶意JavaScript代码，进行水坑式注入攻击。该活动利用Chrome音频组件漏洞(CVE-2019-13720)来执行任意代码，从而下发最终恶意软件。漏洞利用程序尝试使用递归函数创建大量对象，从而开始堆喷寻找在内存未释放的指针进行利用，并在最终执行Shellcode代码，运行嵌入的Payload。然后下载加密的二进制文件(worst.jpg)并解密，恶意软件会将updata.exe释放到磁盘上并执行。为了达到持久化，该恶意软件会在Windows任务计划列表中安装任务。然后会从硬编码的C2服务器中下载下一阶段木马。该攻击行动疑似来自黑客组织Darkhotel。
36,中国 (63),Emotet银行木马再度发力，国内多家企业遭受攻击,2019/10/31,腾讯,"['钓鱼攻击', '木马后门']",暂无数据,"Emotet银行木马从9月开始进入活跃状态，最近研究人员监测到Emotet攻击活动再次发力。该恶意活动通过群发包含恶意宏文档附件的钓鱼邮件，钓鱼邮件通常伪装成""发票交易""、""收据""、""会议邀请""等，引诱目标下载。一旦受害者下载并运行doc文档中的宏代码，便会启动powershell下载执行Emotet银行木马775.exe，775.exe运行后将自身拷贝到system32目录下重命名为kdslicense.exe并创建为服务运行。该木马的功能包括收集系统信息，加密后发送至服务器，然后继续下载其他恶意负载，如Qbot，The Trick等木马。"
37,中国 (63),我国多个重要单位被境外APT黑客组织Bitter攻陷,2019/10/30,微步在线,['木马后门'],BITTERBITTER蔓灵花蔓灵花,2019年10月27日，推特用户@MisterCh0c发布消息称发现了一款木马控制平台的登录地址http://lmhostsvc[.]net/healthne/login.php， 10月28日，另一用户@sS55752750回复该信息并配有一张后台页面图片，根据图片发现该后台至少记录了12台被控主机的IP地址、计算机名、用户名、操作系统、被控时间及最后一次上线时间等信息。
38,中国 (63),印度APT组织攻击我国多个目标曝光,2019/10/30,360,['木马后门'],BITTERBITTER蔓灵花蔓灵花,2019年10月27日，推特@MisterCh0c发布一张照片，通过360CERT研究人员分析，发现该C2控制台隶属于印度网军“蔓灵花”组织（Bitter），该后台控制界面中暴露多个我国IP地址被控制上线。控制台界面显示了木马控制后台的主机信息界面，包括最后上线时间、主机版本信息、用户名称、电脑名称等。
39,中国 (63),蔓灵花组织木马控制后台被披露，中国多个重要单位受影响,2019/10/30,安恒信息,['木马后门'],BITTERBITTER蔓灵花蔓灵花,最近，国外安全研究人员发现了一款木马控制平台的登录地址http://lmhostsvc[.]net/healthne/login.php，根据其特征，研究人员推测这属于印度APT组织蔓灵花的基础设施。研究人员Twitter截图显示，该后台至少记录了12台被控主机的信息。目前记录的18个IP地址中9个属于中国，主要涉及北京、上海、浙江、广西等地。蔓灵花（T-APT-17、BITTER）是一个长期针对中国、巴基斯坦等国家进行攻击活动的APT组织，长期针对中国的军工业、核能、政府等重点单位。该组织通常使用钓鱼攻击和漏洞利用来传播恶意木马。
40,中国 (63),疑似Group123针对中韩外贸人士攻击活动分析,2019/10/29,腾讯,"['钓鱼攻击', '木马后门']",APT37Group123ScarCruft,腾讯威胁情报中心检测到针对中韩贸易相关人士的钓鱼攻击活动，该活动疑似来自于朝鲜黑客组织Group123(APT37)。使用的诱饵名字包括韩文和英文的.rar文档。解压后伪装成word图标和名字的可执行文件，该执行文件实际为一个下载器，下载器通过请求链接地址http://artmuseums[.]or.kr/swfupload/fla/1.jpg下载一个隐藏了RAT代码的jpg文件。木马会从同目录的配置文件中获取C2信息，然后对指定目录下的指定扩展名文件进行扫描打包，上传到C2服务器。C2域名为韩国博物馆网站，分析人员推测，攻击者先攻击了该网站，然后将其作为C2，以此来躲避查杀。
41,中国 (63),Sodinokibi勒索病毒伪装成Office文档，攻击中韩企业,2019/10/28,腾讯,"['勒索软件', '钓鱼攻击']",暂无数据,"最近，腾讯安全御见威胁情报中心检测到，大量通过钓鱼邮件传播的sodinokibi勒索病毒攻击中韩两国企业，并勒索0.15个比特币(7800元人民币)，中招企业主要集中在广东、山东、江苏等地。钓鱼邮件伪装成""偿还债务""、""支付汇款建议""主题，诱导目标下载。恶意负载伪装成表格文件避免被怀疑，加密后会修改桌面背景为深蓝色并创建勒索文本readme.txt，该病毒加密后的文件暂时无法解密。根据监测，在一天内攻击者使用伪造的近1000个邮箱地址针对国内目标发送超过5万封钓鱼邮件。"
42,中国 (63),蔓灵花APT组织最新的C#木马组件揭秘,2019/10/26,安恒信息,['暂无数据'],BITTERBITTER蔓灵花蔓灵花,安恒安全研究院猎影威胁情报分析团队于今年4月份监控并发现“蔓灵花”(BITTER)组织针对我国多个敏感部门进行攻击，安全研究团队对该次事件进行深入了分析。通过持续监控，近期又发现其开始了新的攻击，并加入了新的组件。
43,中国 (63),浏览器劫持木马通过知名游戏传播，通过随机导航地址躲避杀软监控,2019/10/15,360,['木马后门'],暂无数据,最近，360安全大脑监测到有游戏下载网站利用《怪物猎人:世界》等多款知名游戏旗号进行传播劫持木马。木马具备劫持浏览器主页及默认搜索页、获取浏览器历史记录、篡改浏览器收藏夹、添加浏览器扩展、修改浏览器Cookie等恶意行为。分析发现，木马传播者对《孤岛惊魂5》、《怪物猎人：世界》、《极品飞车20》、《鬼泣5》、《边缘世界》等知名游戏进行二次打包并加入木马程序，然后通过游虎游戏网(hxxp://dj.dianjinghu.com)进行传播。受害者主要分布于山东、福建、四川。
44,中国 (63),PKPLUG网络间谍活动针对亚洲地区，使用HenBox和Farseer后门,2019/10/14,paloalto,"['鱼叉', '式', '网络钓鱼', '木马后门']",暂无数据,最近， Unit 42揭露了针对亚洲的网络间谍攻击活动PKPLUG，并且将过去发生的一系列攻击归为此。PKPLUG活动中主要通过钓鱼邮件发起攻击，使用了多种自定义恶意软件，包括针对Android系统的HenBox和Windows系统的后门Farseer。除此之外，攻击者还使用了9002木马、Poison Ivy和Zupdax。该活动针对缅甸、越南、印度尼西亚和中国台湾、西藏、新疆地区。
45,中国 (63),NEMTY勒索病毒V1.6国内感染量上升,2019/10/12,腾讯,"['勒索软件', '钓鱼攻击']",暂无数据,腾讯威胁情报中心监测到NEMTY勒索病毒V1.6变种在国庆期间感染量有明显上升，主要受害地区为江苏、辽宁、河南等省份。该病毒主要通过垃圾邮件，RIG EK（网页挂马漏洞利用工具包）传播。最新版本对其文件加密算法和秘钥生成算法进行了更新。病毒加密文件前会结束若干个数据库软件、Office程序的进程，停止相关服务，以避免加密文件时被锁定而中止，病毒会添加计划任务来自动运行，并且会删除磁盘卷影信息，避免用户通过这些信息恢复数据；被加密的文件后辍为“_NEMTY_randome_7位随机字符串_”。NEMTY白名单国家包括俄罗斯、白俄罗斯、乌克兰及多个中亚国家。
46,中国 (63),Buran勒索病毒传入中国,2019/10/10,腾讯,"['勒索软件', '钓鱼攻击']",暂无数据,"最近，腾讯威胁情报中心发现了一种新的勒索病毒传入中国，该勒索病毒会在注册表和加密文件中写入""buran""字符串，故命名为buran勒索病毒。该病毒通过邮件方式传播，附带恶意宏的word文档，若用户下载邮件附件，启用宏代码，就会从攻击者远程服务器下载激活勒索病毒。勒索病毒会使用WinInet函数访问geoiptool.com、iplogger.com地址，获取受害机的IP地址信息，然后设置注册表run键开机启动。并将公钥key和受害者id保存在注册表中，lsass.exe遍历磁盘文件，加密用户数据，为每一个文件生成256位key，使用AES-256-CBC加密文件，生成密钥对RSA-512，公钥用来加密256位key，内容存放到文件中，私钥被注册表中的RSA公钥加密存放文件中。文件开头写入""BURAN""标志，防止文件被重复加密。文件内容被加密后，使用代表受害机ID的后缀重命名文件。该勒索病毒给国外论坛某用户造成了3000美金的损失。"
47,中国 (63),黑客利用phpStudy RCE漏洞，传播Nitol木马和DDos压测工具,2019/9/30,腾讯,"['木马后门', '僵尸网络', '恶意扫描']",暂无数据,腾讯威胁情报中心近期监测到有团伙利用phpStudy RCE(远程代码执行)漏洞批量抓“肉鸡”。一旦入侵成功，攻击者将完全控制采用phpStudy搭建的服务器，并使用远控木马Nitol、大灰狼(360.exe)、魑魅魍魉(Server.exe)、Gh0st收集受害者系统信息，或者下发DDoS攻击指令，对目标计算机进行网络攻击。监测表明，受害服务器要位于广东(24.9%)、四川(8.1%)、山东(6.8%)。有多个企业租用的云服务器因phpStudy组件漏洞被入侵控制。
48,中国 (63),美国中央情报局网络武器库分析与披露,2019/9/30,奇安信,['远控木马'],暂无数据,奇安信威胁情报中心红雨滴团队对历史曝光的CIA网络武器及相关资料进行研究，并发现了多种网络武器文件，并且根据分析的结果与现有公开资料内容进行了关联和判定。并且我们还发现这些网络武器曾用于攻击中国的目标人员和机构，其相关攻击活动主要发生在2012年到2017年（与Vault7资料公开时间相吻合），并且在其相关资料被曝光后直至2018年末，依然维持着部分攻击活动，目标可能涉及国内的航空行业。
